city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
DEN,2026-07-16,KXHIGHDEN-26JUL16-B95.5,no,0.997,0.96,16,0.034,True,0.59
DEN,2026-07-16,KXHIGHDEN-26JUL16-B93.5,no,0.976,0.54,45,0.419,False,-25.09
DEN,2026-07-16,KXHIGHDEN-26JUL16-B91.5,no,0.905,0.58,30,0.308,True,12.08
DEN,2026-07-16,KXHIGHDEN-26JUL16-B89.5,yes,0.222,0.08,47,0.137,False,-4.01
DEN,2026-07-15,KXHIGHDEN-26JUL15-B95.5,no,0.98,0.84,47,0.131,True,7.07
DEN,2026-07-15,KXHIGHDEN-26JUL15-B93.5,no,0.915,0.51,46,0.387,False,-24.27
DEN,2026-07-15,KXHIGHDEN-26JUL15-B91.5,no,0.791,0.74,5,0.037,True,1.23
DEN,2026-07-14,KXHIGHDEN-26JUL14-T93,yes,0.76,0.08,31,0.674,False,-2.64
DEN,2026-07-14,KXHIGHDEN-26JUL14-B97.5,no,0.989,0.9,14,0.082,True,1.31
DEN,2026-07-14,KXHIGHDEN-26JUL14-B95.5,no,0.942,0.63,22,0.295,False,-14.22
DEN,2026-07-14,KXHIGHDEN-26JUL14-B93.5,no,0.831,0.53,32,0.283,True,14.48
DEN,2026-07-13,KXHIGHDEN-26JUL13-T93,yes,0.373,0.02,19,0.351,False,-0.41
DEN,2026-07-13,KXHIGHDEN-26JUL13-B97.5,no,0.91,0.46,14,0.432,False,-6.69
DEN,2026-07-13,KXHIGHDEN-26JUL13-B95.5,no,0.784,0.65,44,0.118,True,14.69
DEN,2026-07-13,KXHIGHDEN-26JUL13-B93.5,yes,0.297,0.05,5,0.243,False,-0.27
DEN,2026-07-12,KXHIGHDEN-26JUL12-T92,yes,0.387,0.03,3,0.355,False,-0.1
DEN,2026-07-12,KXHIGHDEN-26JUL12-B96.5,no,0.915,0.66,5,0.239,True,1.62
DEN,2026-07-12,KXHIGHDEN-26JUL12-B94.5,no,0.791,0.51,4,0.263,False,-2.11
DEN,2026-07-12,KXHIGHDEN-26JUL12-B92.5,yes,0.296,0.13,20,0.158,False,-2.76
DEN,2026-07-11,KXHIGHDEN-26JUL11-T91,yes,0.139,0.02,7,0.117,False,-0.15
DEN,2026-07-11,KXHIGHDEN-26JUL11-B97.5,no,0.91,0.66,60,0.234,True,19.45
DEN,2026-07-11,KXHIGHDEN-26JUL11-B95.5,no,0.784,0.49,81,0.277,True,39.89
DEN,2026-07-11,KXHIGHDEN-26JUL11-B93.5,yes,0.297,0.15,72,0.138,True,60.55
DEN,2026-07-11,KXHIGHDEN-26JUL11-B91.5,yes,0.234,0.03,54,0.202,False,-1.73
