city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
MIA,2026-07-15,KXHIGHMIA-26JUL15-B90.5,yes,0.1,0.03,224,0.068,False,-7.18
MIA,2026-07-14,KXHIGHMIA-26JUL14-B96.5,yes,0.11,0.08,133,0.025,False,-11.33
MIA,2026-07-14,KXHIGHMIA-26JUL14-B94.5,no,0.653,0.48,83,0.156,False,-41.3
MIA,2026-07-14,KXHIGHMIA-26JUL14-B90.5,yes,0.139,0.04,149,0.096,False,-6.37
MIA,2026-07-13,KXHIGHMIA-26JUL13-B94.5,no,0.653,0.38,53,0.257,True,31.98
MIA,2026-07-13,KXHIGHMIA-26JUL13-B92.5,yes,0.374,0.32,125,0.039,True,83.09
MIA,2026-07-13,KXHIGHMIA-26JUL13-B90.5,yes,0.139,0.02,362,0.117,False,-7.74
MIA,2026-07-12,KXHIGHMIA-26JUL12-B96.5,yes,0.12,0.04,800,0.077,False,-34.16
MIA,2026-07-12,KXHIGHMIA-26JUL12-B94.5,no,0.643,0.55,72,0.076,False,-40.85
MIA,2026-07-12,KXHIGHMIA-26JUL12-B92.5,no,0.635,0.56,71,0.058,True,30.01
MIA,2026-07-12,KXHIGHMIA-26JUL12-B90.5,yes,0.128,0.04,68,0.086,False,-2.91
MIA,2026-07-11,KXHIGHMIA-26JUL11-B95.5,yes,0.174,0.05,152,0.121,False,-8.11
MIA,2026-07-11,KXHIGHMIA-26JUL11-B93.5,no,0.603,0.46,76,0.126,True,39.71
MIA,2026-07-10,KXHIGHMIA-26JUL10-B95.5,yes,0.07,0.04,94,0.027,False,-4.02
MIA,2026-07-10,KXHIGHMIA-26JUL10-B93.5,no,0.712,0.51,78,0.185,False,-41.15
MIA,2026-07-10,KXHIGHMIA-26JUL10-B89.5,yes,0.196,0.03,321,0.164,False,-10.29
MIA,2026-07-09,KXHIGHMIA-26JUL09-T90,yes,0.054,0.02,4,0.033,False,-0.09
MIA,2026-07-09,KXHIGHMIA-26JUL09-B92.5,no,0.588,0.31,122,0.263,False,-39.65
MIA,2026-07-09,KXHIGHMIA-26JUL09-B90.5,yes,0.247,0.06,299,0.183,False,-19.13
MIA,2026-07-08,KXHIGHMIA-26JUL08-B95.5,no,0.963,0.86,46,0.094,True,6.05
MIA,2026-07-08,KXHIGHMIA-26JUL08-B93.5,no,0.789,0.36,111,0.413,True,69.24
MIA,2026-07-08,KXHIGHMIA-26JUL08-B91.5,yes,0.409,0.22,181,0.177,True,139.0
MIA,2026-07-08,KXHIGHMIA-26JUL08-B89.5,yes,0.273,0.02,62,0.252,False,-1.33
MIA,2026-07-07,KXHIGHMIA-26JUL07-B92.5,no,0.7,0.39,84,0.293,False,-34.16
MIA,2026-07-07,KXHIGHMIA-26JUL07-B90.5,yes,0.401,0.27,148,0.117,False,-42.01
MIA,2026-07-07,KXHIGHMIA-26JUL07-B88.5,yes,0.184,0.04,281,0.142,False,-12.0
MIA,2026-07-06,KXHIGHMIA-26JUL06-T94,yes,0.201,0.03,9,0.169,False,-0.29
MIA,2026-07-06,KXHIGHMIA-26JUL06-B93.5,yes,0.397,0.29,111,0.092,True,77.21
MIA,2026-07-06,KXHIGHMIA-26JUL06-B91.5,no,0.689,0.48,83,0.192,True,41.7
MIA,2026-07-06,KXHIGHMIA-26JUL06-B89.5,no,0.917,0.84,47,0.067,True,7.07
MIA,2026-07-05,KXHIGHMIA-26JUL05-B93.5,yes,0.288,0.15,9,0.129,True,7.56
MIA,2026-07-05,KXHIGHMIA-26JUL05-B91.5,no,0.595,0.39,102,0.188,True,60.52
MIA,2026-07-04,KXHIGHMIA-26JUL04-B92.5,no,0.712,0.54,74,0.155,False,-41.25
MIA,2026-07-04,KXHIGHMIA-26JUL04-B88.5,yes,0.196,0.03,381,0.164,False,-12.21
MIA,2026-07-03,KXHIGHMIA-26JUL03-T95,yes,0.102,0.02,40,0.081,False,-0.86
MIA,2026-07-03,KXHIGHMIA-26JUL03-B94.5,yes,0.324,0.09,82,0.229,False,-7.86
MIA,2026-07-03,KXHIGHMIA-26JUL03-B92.5,no,0.611,0.32,76,0.275,True,50.52
MIA,2026-07-03,KXHIGHMIA-26JUL03-B90.5,no,0.839,0.77,51,0.057,False,-39.91
MIA,2026-07-02,KXHIGHMIA-26JUL02-B91.5,no,0.712,0.55,72,0.145,True,31.15
